sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
SC,SEYCHELLEN,1,,0.87,UNCHECKED,UNREVIEWED,,0,41962695,Seyches,Geography,MAPS_TO,,<auto>,1658924391855,
GG,GUERNSEY,1,,1.00,UNCHECKED,UNREVIEWED,,0,42067915,Guernsey,Geography,MAPS_TO,,<auto>,1658924391860,
AZ,AZERBEIDZJAN,1,,0.31,UNCHECKED,UNREVIEWED,,0,41989196,Zerben,Geography,MAPS_TO,,<auto>,1658924391861,
OM,OMAN,1,,0.85,UNCHECKED,UNREVIEWED,,0,41969302,Roman,Geography,MAPS_TO,,<auto>,1658924391864,
KY,CAYMANEILANDEN,1,,0.55,UNCHECKED,UNREVIEWED,,0,42026446,Neila,Geography,MAPS_TO,,<auto>,1658924391864,
KP,NOORD-KOREA,1,,0.45,UNCHECKED,UNREVIEWED,,0,42021534,North Holland,Geography,MAPS_TO,,<auto>,1658924391887,
PN,PITCAIRNEILANDEN,1,,0.79,UNCHECKED,UNREVIEWED,,0,42075782,Pitcairn,Geography,MAPS_TO,,<auto>,1658924391889,
HU,HONGARIJE,1,,0.69,UNCHECKED,UNREVIEWED,,0,42034493,Rijen,Geography,MAPS_TO,,<auto>,1658924391980,
PK,PAKISTAN,1,,0.62,UNCHECKED,UNREVIEWED,,0,41882504,Blakiston,Geography,MAPS_TO,,<auto>,1658924391985,
YE,YEMEN,1,,0.48,UNCHECKED,UNREVIEWED,,0,41952672,Moyemont,Geography,MAPS_TO,,<auto>,1658924392000,
LY,LIBIË,1,,0.44,UNCHECKED,UNREVIEWED,,0,41890668,Libin,Geography,MAPS_TO,,<auto>,1658924392021,
EG,EGYPTE,1,,0.43,UNCHECKED,UNREVIEWED,,0,42067958,Gypsum,Geography,MAPS_TO,,<auto>,1658924392039,
UG,OEGANDA,1,,0.57,UNCHECKED,UNREVIEWED,,0,41891315,Hoegaarden,Geography,MAPS_TO,,<auto>,1658924392057,
VI,AMERIKAANSE MAAGDENEILANDEN,1,,0.49,UNCHECKED,UNREVIEWED,,0,42033346,Kaag,Geography,MAPS_TO,,<auto>,1658924392081,
JO,JORDANIË,1,,0.58,UNCHECKED,UNREVIEWED,,0,42069688,Jordan,Geography,MAPS_TO,,<auto>,1658924392082,
RU,RUSLAND,1,,0.84,UNCHECKED,UNREVIEWED,,0,41982219,Uslar,Geography,MAPS_TO,,<auto>,1658924392139,
ML,MALI,1,,0.81,UNCHECKED,UNREVIEWED,,0,42071735,Malin,Geography,MAPS_TO,,<auto>,1658924392145,
KW,KOEWEIT,1,,0.54,UNCHECKED,UNREVIEWED,,0,42033417,Koewacht,Geography,MAPS_TO,,<auto>,1658924392146,
NO,NOORWEGEN,1,,0.79,UNCHECKED,UNREVIEWED,,0,41978732,Moorweg,Geography,MAPS_TO,,<auto>,1658924392153,
